00000;N10;-;00
00000;N10;1;00
00000;N10;0;10
00000;N11;-;00
00000;N11;1;00
00000;N11;0;00
00000;N16;-;00
00000;N16;1;00
00000;N16;0;11
00000;N19;-;00
00000;N19;1;00
00000;N19;0;01
00001;N10;-;01
00001;N10;1;01
00001;N10;0;11
00001;N11;-;01
00001;N11;1;01
00001;N11;0;00
00001;N16;-;01
00001;N16;1;01
00001;N16;0;11
00001;N19;-;01
00001;N19;1;00
00001;N19;0;01
00010;N10;-;00
00010;N10;1;00
00010;N10;0;10
00010;N11;-;00
00010;N11;1;00
00010;N11;0;00
00010;N16;-;00
00010;N16;1;00
00010;N16;0;11
00010;N19;-;00
00010;N19;1;00
00010;N19;0;01
00011;N10;-;01
00011;N10;1;01
00011;N10;0;11
00011;N11;-;01
00011;N11;1;01
00011;N11;0;00
00011;N16;-;01
00011;N16;1;01
00011;N16;0;11
00011;N19;-;01
00011;N19;1;00
00011;N19;0;01
00100;N10;-;00
00100;N10;1;00
00100;N10;0;10
00100;N11;-;00
00100;N11;1;00
00100;N11;0;00
00100;N16;-;00
00100;N16;1;00
00100;N16;0;11
00100;N19;-;00
00100;N19;1;00
00100;N19;0;01
00101;N10;-;01
00101;N10;1;01
00101;N10;0;11
00101;N11;-;01
00101;N11;1;01
00101;N11;0;00
00101;N16;-;01
00101;N16;1;01
00101;N16;0;11
00101;N19;-;01
00101;N19;1;00
00101;N19;0;01
00110;N10;-;00
00110;N10;1;00
00110;N10;0;10
00110;N11;-;00
00110;N11;1;00
00110;N11;0;00
00110;N16;-;00
00110;N16;1;00
00110;N16;0;11
00110;N19;-;00
00110;N19;1;00
00110;N19;0;01
00111;N10;-;00
00111;N10;1;00
00111;N10;0;10
00111;N11;-;00
00111;N11;1;01
00111;N11;0;00
00111;N16;-;00
00111;N16;1;00
00111;N16;0;11
00111;N19;-;00
00111;N19;1;00
00111;N19;0;01
01000;N10;-;11
01000;N10;1;11
01000;N10;0;11
01000;N11;-;11
01000;N11;1;11
01000;N11;0;00
01000;N16;-;11
01000;N16;1;00
01000;N16;0;11
01000;N19;-;11
01000;N19;1;11
01000;N19;0;11
01001;N10;-;11
01001;N10;1;11
01001;N10;0;11
01001;N11;-;11
01001;N11;1;11
01001;N11;0;00
01001;N16;-;11
01001;N16;1;01
01001;N16;0;11
01001;N19;-;11
01001;N19;1;11
01001;N19;0;11
01010;N10;-;11
01010;N10;1;11
01010;N10;0;11
01010;N11;-;11
01010;N11;1;11
01010;N11;0;00
01010;N16;-;11
01010;N16;1;00
01010;N16;0;11
01010;N19;-;11
01010;N19;1;11
01010;N19;0;11
01011;N10;-;11
01011;N10;1;11
01011;N10;0;11
01011;N11;-;11
01011;N11;1;11
01011;N11;0;00
01011;N16;-;11
01011;N16;1;01
01011;N16;0;11
01011;N19;-;11
01011;N19;1;11
01011;N19;0;11
01100;N10;-;11
01100;N10;1;11
01100;N10;0;11
01100;N11;-;11
01100;N11;1;11
01100;N11;0;00
01100;N16;-;11
01100;N16;1;00
01100;N16;0;11
01100;N19;-;11
01100;N19;1;11
01100;N19;0;11
01101;N10;-;11
01101;N10;1;11
01101;N10;0;11
01101;N11;-;11
01101;N11;1;11
01101;N11;0;00
01101;N16;-;11
01101;N16;1;01
01101;N16;0;11
01101;N19;-;11
01101;N19;1;11
01101;N19;0;11
01110;N10;-;00
01110;N10;1;00
01110;N10;0;10
01110;N11;-;00
01110;N11;1;11
01110;N11;0;00
01110;N16;-;00
01110;N16;1;00
01110;N16;0;11
01110;N19;-;00
01110;N19;1;00
01110;N19;0;01
01111;N10;-;00
01111;N10;1;00
01111;N10;0;10
01111;N11;-;00
01111;N11;1;11
01111;N11;0;00
01111;N16;-;00
01111;N16;1;00
01111;N16;0;11
01111;N19;-;00
01111;N19;1;00
01111;N19;0;01
10000;N10;-;00
10000;N10;1;00
10000;N10;0;10
10000;N11;-;00
10000;N11;1;00
10000;N11;0;00
10000;N16;-;00
10000;N16;1;00
10000;N16;0;11
10000;N19;-;00
10000;N19;1;00
10000;N19;0;01
10001;N10;-;01
10001;N10;1;01
10001;N10;0;11
10001;N11;-;01
